no,code,year ,type,x,y,distx,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
1,101,1997,groundwater,791358.411,10754868.21,713.8390093,1175,tuffsand,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,38.5,32.4
2,102,1997,groundwater,790201.3943,10764157.57,1870.855707,980,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,38.5,32.4
3,103,1997,groundwater,790005.7558,10759508.66,2066.494233,650,tuffsand,196,6.18,8.6,173.06,23.7,56,2,2.8,1.9,0.2,0.23,1.2,5.9,6.9,18,9.1,3.6,3.9,0.08,2.3,52,38.5,32.4
4,104,1997,groundwater,789968.6193,10766258.89,2103.630735,740,tuffsand,225,6,12,338,23.1,74,0.5,9.7,4.2,0.08,0.3,1.4,6.6,8.1,24,45.3,24.7,0.3,0,3,37,38.5,32.4
5,105,1997,groundwater,786240.1504,10760484.1,5832.099594,890,tuffsand,441,5.8,7,359.02,23.7,57,0.5,48,20.1,0.16,0.22,7.7,35.2,2.8,51.9,0,111.9,112.2,0,5.3,39,38.5,32.4
6,106,1997,groundwater,785759.9354,10767453.05,6312.314626,705,tuffsand,44,7.01,6.4,371.89,24.2,2,1,21.1,17,0.08,0.23,10,28.4,10.8,177.7,26.8,36.5,33.3,0,0.5,40,38.5,32.4
7,107,1997,groundwater,785379.2415,10756053.09,6693.008484,1040,tuffsand,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,17.9,10.7,0,7.5,0.3,0.02,1.3,54,38.5,32.4
8,108,1997,groundwater,785309.9728,10748306.62,6762.277199,765,tuffsand,364,7.03,8,302.47,23.9,37,0.45,28,13.3,0.04,0.22,3.4,23,1.4,177.7,0,25,9.2,0.01,0.4,24,38.5,32.4
9,109,1997,groundwater,785256.7552,10758265.61,6815.494758,890,tuffsand,522,6.5,6.2,238.41,22.9,30,0.3,21,11,0.98,0.22,4.1,27,19,28.7,0,48.8,65.2,0.01,3.6,29,38.5,32.4
10,110,1997,groundwater,785246.6244,10760146.76,6825.6256,940,tuffsand,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,51,0,2.7,1.3,0.01,2.1,28,38.5,32.4
11,111,1997,groundwater,785220.2874,10765015.61,6851.962623,710,tuffsand,494,7.09,8.2,384.89,24.5,-2,0.5,44,15,0.06,0.23,9.7,48.1,34.6,126.9,26.8,42.4,59.7,0,4.5,21,38.5,32.4
12,112,1997,groundwater,785181.2099,10752842.9,6891.040116,1300,tuffsand,71.9,6.89,11,58.67,21,35,1,1.8,1.7,0.08,0.22,1.7,5,5.8,7,36.3,4.8,0.6,0,4.7,23,38.5,32.4
13,113,1997,groundwater,785180.2099,10752842.9,6892.040116,1240,tuffsand,71.9,6.89,11,58.67,21,30,1,1.8,1.7,0.08,0.22,1.7,5,6.7,6.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
14,114,1997,groundwater,785178.2099,10752842.9,6894.040116,1228,tuffsand,71.9,6.89,11,58.67,21,24,1,1.8,1.7,0.08,0.22,1.7,5,8,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
15,115,1997,groundwater,785176.2099,10752842.9,6896.040116,1200,tuffsand,71.9,6.89,11,58.67,21,22,1,1.8,1.7,0.08,0.22,1.7,5,7,8.6,36.3,4.8,0.6,0,4.7,23,38.5,32.4
16,116,1997,groundwater,785175.2099,10752835.9,6897.040116,1338,tuffsand,71.9,6.89,11,58.67,21,30,1,1.8,1.7,0.08,0.22,1.7,5,7,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
17,117,1997,groundwater,785175.2099,10752839.9,6897.040116,1320,tuffsand,71.9,6.89,11,58.67,21,34,1,1.8,1.7,0.08,0.22,1.7,5,6,6.7,36.3,4.8,0.6,0,4.7,23,38.5,32.4
18,118,1997,groundwater,785175.2099,10752850.9,6897.040116,1247,tuffsand,71.9,6.89,11,58.67,21,32,1,1.8,1.7,0.08,0.22,1.7,5,6.8,6,36.3,4.8,0.6,0,4.7,23,38.5,32.4
19,119,1997,groundwater,785175.2099,10752843.9,6897.040116,1230,tuffsand,71.9,6.89,11,58.67,21,23,1,1.8,1.7,0.08,0.22,1.7,5,8,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
20,120,1997,groundwater,785175.2099,10752848.9,6897.040116,1225,tuffsand,71.9,6.89,11,58.67,21,21,1,1.8,1.7,0.08,0.22,1.7,5,8.2,8.9,36.3,4.8,0.6,0,4.7,23,38.5,32.4
21,121,1997,groundwater,785175.2099,10752842.9,6897.040116,1190,tuffsand,71.9,6.89,11,58.67,21,23,1,1.8,1.7,0.08,0.22,1.7,5,6.8,8.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
22,122,1997,groundwater,785168.2099,10752842.9,6904.040116,1336,tuffsand,71.9,6.89,11,58.67,21,24,1,1.8,1.7,0.08,0.22,1.7,5,6,7.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
23,123,1997,groundwater,784558.6059,10765233.33,7513.644114,830,tuffsand,144,6.3,6.2,385.68,22.4,49,2,14,16.3,0.16,0.22,3,30.3,17.3,83,0,54.6,12.5,0,2.4,44,38.5,32.4
24,124,1997,groundwater,784444.4271,10765353.38,7627.822932,740,tuffsand,349,6.6,14,356.8,23.7,25,0.2,11.3,4.6,0.08,0.3,6.4,18.1,2.5,67,35.3,22,33,0,1.5,41,38.5,32.4
25,125,1997,groundwater,784266.7386,10757264.37,7805.511429,770,tuffsand,486,6.13,7,261.92,24.2,78,1,13.5,12,0.4,0.22,8.7,36,0,86,72.5,63.1,26.9,0.01,5.3,21,38.5,32.4
26,126,1997,groundwater,784116.2778,10764677.66,7955.972202,720,tuffsand,408,6.9,7.2,365.6,24.1,4,0.3,8.8,13,0.16,0.23,7.5,18.3,10.8,94,6.6,13.6,12,0,4.2,31,38.5,32.4
27,127,1997,groundwater,784000.9133,10765562.3,8071.336708,750,tuffsand,564,6.35,12,314.07,24.2,43,0.75,40.5,9.9,0.06,0.23,6.1,20.7,2.3,193.8,45.3,46.5,6.8,0,0,9,38.5,32.4
28,128,1997,groundwater,783992.5282,10767111.47,8079.721808,765,tuffsand,362,6.78,8,312.57,25.2,18,2,17,13.3,0.06,0.22,7.9,18,17.9,61,87.8,57.3,2.6,0,0.08,50,38.5,32.4
29,129,1997,groundwater,783889.7365,10765672.36,8182.513492,670,tuffsand,142,6.1,7.8,193.77,23.2,59,2,0.7,1.6,1.2,0.23,0.8,4.4,0,5.6,7.9,12.1,1.3,0.01,6.3,46,38.5,32.4
30,130,1997,groundwater,783803.6019,10761134.92,8268.648072,760,tuffsand,349,7.08,12,238.7,23.8,-4,0.5,37,10.3,0.13,0.23,3.2,35,7.8,155.1,0,48.2,41.2,0,5,15,38.5,32.4
31,131,1997,groundwater,783455.7768,10764120.8,8616.473179,750,tuffsand,324,6.62,8.1,416.77,25.1,20,2,17,13.3,0.16,0.23,7.9,20,2.3,91.7,18.1,41.7,57.3,0.01,2.6,57,38.5,32.4
32,132,1997,groundwater,783353.5286,10762571.05,8718.721433,765,tuffsand,391,6.99,8,292.02,24,-1,0.2,39,13.1,0.66,0.22,2.7,21,1.7,178.8,36.3,40.7,17.6,0.01,4.3,18,38.5,32.4
33,133,1997,groundwater,782470.6334,10762234.34,9601.616629,768,tuffsand,364,6.89,7,208.95,24.6,13,0.5,41.2,14.1,0.13,0.22,2.4,18.2,1.5,180.3,36.3,21.7,4.3,0.01,1.1,19,38.5,32.4
34,134,1997,groundwater,782141.2468,10761789.95,9931.003227,730,tuffsand,489,7.07,7.3,250.5,24.2,-2,1,13,15,0.2,0.23,7.8,29,10.2,85,86,38.8,24.6,0,1.4,54,38.5,32.4
35,135,1997,groundwater,782032.4349,10761457.4,10039.81507,780,tuffsand,411,6.77,8,334.6,24.6,29,1,12,9.9,0.2,0.22,9.1,24,13.4,89,0,32,20,0,4.8,26,38.5,32.4
36,136,1997,groundwater,781713.6432,10759021.26,10358.60679,780,clay,489,6.38,5,425.78,23.5,40,1,8,7.5,0.13,0.22,2.6,13,12.3,13.4,19,27.8,27.4,0.02,0.7,36,38.5,32.4
37,137,1997,groundwater,780604.2231,10759679.31,11468.02692,700,tuffsand,373,6.7,5.8,159.47,23.3,67,0.5,27,10,0.13,0.23,3.4,25.3,13.4,97.8,0,56.7,17,0,0.7,24,38.5,32.4
38,138,1997,groundwater,779823.6666,10760892.38,12248.58344,765,tuffsand,252,5.45,10,370.21,23.8,75,10,9.7,6.4,0.08,0.22,7.7,17,0.1,122.2,27.2,3.3,1.3,0,1.3,56,38.5,32.4
39,139,1997,groundwater,779808.4046,10763769.32,12263.84539,650,tuffsand,261,6.23,4,359.02,23.6,40,0.5,8.4,9.8,0.14,0.23,8.1,20,22.9,72,18.1,7.5,2.9,0,1.9,51,38.5,32.4
40,140,1997,groundwater,779749.8099,10753920.75,12322.4401,1150,tuffsand,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,38.5,32.4
41,141,1997,groundwater,779287.0807,10757791.22,12785.16935,940,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,50,0,2.7,1.3,0,2.1,42,38.5,32.4
42,142,1997,groundwater,778949.4861,10758895.98,13122.76393,790,tuffsand,167,6.6,8.8,155.7,23.3,-40,2,3.6,3.1,0.08,0.22,7,7.3,12.3,12.4,12.7,5.7,0.9,0,0.4,64,38.5,32.4
43,143,1997,groundwater,778412.2092,10755905.52,13660.04083,1130,tuffsand,122,5.98,6,83.81,23.3,67,0.5,3.2,0.7,0.1,0.22,5.3,6.7,10,12.4,45.3,4.2,2,0,3.2,29,38.5,32.4
44,144,1997,groundwater,777881.7124,10751587.28,14190.53764,990,breccias,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,38.5,32.4
45,145,1997,groundwater,777100.0357,10753021.7,14972.21428,820,breccias,167,6.6,4.5,113.39,22.8,40,1,1,0.9,0.06,0.22,3.8,8,7.7,16,0,5,0.4,0.02,0.6,43,38.5,32.4
46,146,1997,groundwater,776637.5243,10756892.13,15434.72573,760,tuffsand,495,6.11,6,311.45,23.4,62,1,8,17,0.2,0.23,6,8,7,8.9,90.6,53.1,61.3,0,4.3,23,38.5,32.4
47,147,1997,groundwater,776304.6,10757111.7,15767.65003,650,tuffsand,192,6.07,4,111.36,23.9,61,1,5,2.4,0.16,0.23,0.4,5.9,6.8,15,45.3,12,2,0.1,2.3,23,38.5,32.4
48,148,1997,groundwater,776193.4341,10757221.77,15878.8159,765,clay,680,6.72,7,123.8,24.3,54,1,65,13.3,0.16,0.22,3,36.3,0,330.6,117.8,48.6,10.5,0,2.4,35,38.5,32.4
49,149,1997,groundwater,775304.1237,10758102.36,16768.12634,760,clay,136,5,8.8,132.49,21.2,-81,1,18.1,10.3,0.2,0.22,11.7,27,0.2,176.4,0,20.7,7.5,0.02,0.1,43,38.5,32.4
50,150,1997,groundwater,771336.0161,10755537.01,20736.23393,700,breccias,213,6.21,10.7,279.59,24,42,1,21,13.1,0.13,0.23,3.6,26,10.8,45.8,20.1,62.7,56.8,0.02,4.5,46,38.5,32.4
51,151,1997,groundwater,768459.0276,10755854.36,23613.22239,765,clay,581,5.95,8,102.92,24.4,51,5,3,1.5,0.16,0.22,9.2,8.2,0,35.4,54.4,8.8,0.8,0,0.6,20,38.5,32.4
52,201,1998,groundwater,791358.411,10754868.21,713.8390093,1175,tuffsand,144,6.3,6.2,385.68,22.4,49,2,15,16.3,0.16,0.22,3,30.3,17.3,83,0,54.6,12.5,0,2.4,44,40.5,37.4
53,202,1998,groundwater,790201.3943,10764157.57,1870.855707,980,tuffsand,486,6.13,7,261.92,24.2,78,1,13,12,0.4,0.22,8.7,36,0,86,72.5,63.1,26.9,0.01,5.3,21,40.5,37.4
54,203,1998,groundwater,790005.7558,10759508.66,2066.494233,650,tuffsand,133,6.8,3.1,292,23.3,62,0.5,13.5,5.2,0.16,0.24,8.5,12,0,40.9,20.1,39,6.4,0.14,11.9,42.7,40.5,37.4
55,204,1998,groundwater,789968.6193,10766258.89,2103.630735,740,tuffsand,1083,7.6,20.3,1300,24.5,-2,0.2,12,32,0.2,0.24,8,103,0,238,20.1,124.4,48.1,0.28,5.7,39.8,40.5,37.4
56,205,1998,groundwater,786240.1504,10760484.1,5832.099594,890,tuffsand,364,6.89,7,208.95,24.6,13,0.5,41.2,14.1,0.13,0.22,2.4,18.2,1.5,180.3,36.3,21.7,4.3,0.01,1.1,19,40.5,37.4
57,206,1998,groundwater,785759.9354,10767453.05,6312.314626,705,tuffsand,589,7.7,14.2,516,24.2,37,0.5,71.1,18.1,0.13,0.24,31,37,0,263.5,14.5,79.4,18.3,0.03,5.3,33.3,40.5,37.4
58,207,1998,groundwater,785379.2415,10756053.09,6693.008484,1040,tuffsand,581,5.95,8,102.92,24.4,51,5,3,1.5,0.16,0.22,9.2,8.2,0,35.4,54.4,8.8,0.8,0,0.6,20,40.5,37.4
59,208,1998,groundwater,785309.9728,10748306.62,6762.277199,765,tuffsand,71.9,6.89,11,58.67,21,7,1,3.5,1.7,0.08,0.22,1.7,5,9.8,15.2,36.3,3.8,0.6,0,4.7,23,40.5,37.4
60,209,1998,groundwater,785256.7552,10758265.61,6815.494758,890,tuffsand,363,8.2,8.6,104,23.7,20,1,38.1,21.1,0.16,0.23,4.5,41,19.6,235.5,0,15.2,1,0.12,11.3,24.9,40.5,37.4
61,210,1998,groundwater,785246.6244,10760146.76,6825.6256,940,tuffsand,71.9,6.89,11,58.67,21,7,1,4,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
62,211,1998,groundwater,785220.2874,10765015.61,6851.962623,710,tuffsand,450,7.6,10.1,308,24,13,1,56.2,10.8,0.16,0.24,5,34,0,220.3,23.5,27.1,21.5,0.11,30.6,47.4,40.5,37.4
63,212,1998,groundwater,785181.2099,10752842.9,6891.040116,1300,tuffsand,391,6.99,8,292.02,24,-1,0.2,39,13.1,0.66,0.22,2.7,21,1.7,178.8,36.3,40.7,17.6,0.01,4.3,18,40.5,37.4
64,213,1998,groundwater,785180.2099,10752842.9,6892.040116,1240,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,60.5,0,2.7,1.3,0,2.1,42,40.5,37.4
65,214,1998,groundwater,785178.2099,10752842.9,6894.040116,1228,tuffsand,71.9,6.89,11,58.67,21,7,1,3,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
66,215,1998,groundwater,785176.2099,10752842.9,6896.040116,1200,tuffsand,364,7.03,8,302.47,23.9,37,0.45,28,13.3,0.04,0.22,3.4,23,1.4,177.7,0,25,9.2,0.01,0.4,24,40.5,37.4
67,216,1998,groundwater,785175.2099,10752835.9,6897.040116,1338,tuffsand,71.9,6.89,11,58.67,21,7,1,4.3,1.7,0.08,0.22,1.7,5,7,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
68,217,1998,groundwater,785175.2099,10752839.9,6897.040116,1320,tuffsand,680,6.72,7,123.8,24.3,54,1,65,13.3,0.16,0.22,3,36.3,0,330.6,117.8,48.6,10.5,0,2.4,35,40.5,37.4
69,218,1998,groundwater,785175.2099,10752850.9,6897.040116,1247,tuffsand,71.9,6.89,11,58.67,21,7,1,4.2,1.7,0.08,0.22,1.7,5,7.8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
70,219,1998,groundwater,785175.2099,10752843.9,6897.040116,1230,tuffsand,71.9,6.89,11,58.67,21,7,1,4,1.7,0.08,0.22,1.7,5,8.8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
71,220,1998,groundwater,785175.2099,10752848.9,6897.040116,1225,tuffsand,349,7.08,12,238.7,23.8,-4,0.5,37,10.3,0.13,0.23,3.2,35,7.8,155.1,0,48.2,41.2,0,5,15,40.5,37.4
72,221,1998,groundwater,785175.2099,10752842.9,6897.040116,1190,tuffsand,522,6.5,6.2,238.41,22.9,30,0.3,21,11,0.98,0.22,4.1,27,19,28.7,0,48.8,65.2,0.01,3.6,29,40.5,37.4
73,222,1998,groundwater,785168.2099,10752842.9,6904.040116,1336,tuffsand,122,5.98,6,83.81,23.3,67,0.5,3.2,0.7,0.1,0.22,5.3,6.7,8,12.4,45.3,4.2,2,0,3.2,29,40.5,37.4
74,223,1998,groundwater,784558.6059,10765233.33,7513.644114,830,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,40.5,37.4
75,224,1998,groundwater,784444.4271,10765353.38,7627.822932,740,tuffsand,411,6.77,8,334.6,24.6,29,1,15,9.9,0.2,0.22,9.1,24,13.4,88,0,42.4,26.5,0,4.8,26,40.5,37.4
76,225,1998,groundwater,784266.7386,10757264.37,7805.511429,770,tuffsand,489,6.38,5,425.78,23.5,40,1,45,7.5,0.13,0.22,2.6,13,12.3,178.7,19,15.8,27.4,0.02,0.7,36,40.5,37.4
77,226,1998,groundwater,784116.2778,10764677.66,7955.972202,720,tuffsand,520,8,11.2,108,23.7,-1,0.3,13,12,0.06,0.24,2.5,48,0,125,11.1,73.3,31.9,0.27,6.2,20.3,40.5,37.4
78,227,1998,groundwater,784000.9133,10765562.3,8071.336708,750,tuffsand,167,6.6,8.8,155.7,23.3,-40,2,1.6,3.1,0.08,0.22,7,9.3,12.3,13.3,12.7,5.7,0.9,0,0.4,64,40.5,37.4
79,228,1998,groundwater,783992.5282,10767111.47,8079.721808,765,tuffsand,71.9,6.89,11,58.67,21,7,1,4,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
80,229,1998,groundwater,783889.7365,10765672.36,8182.513492,670,tuffsand,549,7.1,10.5,440,22.8,-81,1,33.5,21.8,0.2,0.24,5.5,73,0,345.3,26.8,64.7,6.2,0.11,15.8,38.9,40.5,37.4
81,230,1998,groundwater,783803.6019,10761134.92,8268.648072,760,tuffsand,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,40.5,37.4
82,231,1998,groundwater,783455.7768,10764120.8,8616.473179,750,tuffsand,495,6.11,6,311.45,23.4,62,1,17,17,0.2,0.23,6,26.1,10,38.9,90.6,53.1,61.3,0,4.3,23,40.5,37.4
83,232,1998,groundwater,783353.5286,10762571.05,8718.721433,765,tuffsand,71.9,6.89,11,58.67,21,7,1,3.8,1.7,0.08,0.22,1.7,5,10,15.2,36.3,3,0.6,0,4.7,23,40.5,37.4
84,233,1998,groundwater,782470.6334,10762234.34,9601.616629,768,tuffsand,441,5.8,7,359.02,23.7,57,0.5,48,20.1,0.16,0.22,7.7,35.2,2.8,51.9,0,111.9,112.2,0,5.3,39,40.5,37.4
85,234,1998,groundwater,782141.2468,10761789.95,9931.003227,730,tuffsand,416,7.2,10,360,24.1,74,0.75,44.1,16.3,0.2,0.23,3,44,0,237.4,35.8,20.7,20.8,0.09,10.7,38.8,40.5,37.4
86,235,1998,groundwater,782032.4349,10761457.4,10039.81507,780,tuffsand,268,8,6.1,416,23.1,43,0.5,29.5,8.4,0.06,0.23,1.5,26,0,117,11.2,37.8,10,0.06,10.4,24.4,40.5,37.4
87,236,1998,groundwater,781713.6432,10759021.26,10358.60679,780,clay,136,5,8.8,132.49,21.2,-81,1,18.1,10.3,0.2,0.22,11.7,27,0.2,176.4,0,20.7,7.5,0.02,0.1,43,40.5,37.4
88,237,1998,groundwater,780604.2231,10759679.31,11468.02692,700,tuffsand,430,8,11.1,500,22.9,18,0.5,43.6,21.4,0.08,0.24,4.2,30,0,210,15.6,36.6,17.2,0.08,11.3,44.5,40.5,37.4
89,238,1998,groundwater,779823.6666,10760892.38,12248.58344,765,tuffsand,71.9,6.89,11,58.67,21,7,1,3.8,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
90,239,1998,groundwater,779808.4046,10763769.32,12263.84539,650,tuffsand,647,8.4,8.8,696,23.5,-4,2,44.5,5.2,0.06,0.24,13,50.8,24.6,141.9,0,65.3,27.4,0.07,11.5,29.7,40.5,37.4
91,240,1998,groundwater,779749.8099,10753920.75,12322.4401,1150,tuffsand,71.9,6.89,11,58.67,21,7,1,3.9,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
92,241,1998,groundwater,779287.0807,10757791.22,12785.16935,940,tuffsand,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,40.5,37.4
93,242,1998,groundwater,778949.4861,10758895.98,13122.76393,790,tuffsand,167,6.6,4.5,113.39,22.8,40,1,3.8,0.9,0.06,0.22,3.8,8,12,15.7,0,5,0.4,0.02,0.6,43,40.5,37.4
94,243,1998,groundwater,778412.2092,10755905.52,13660.04083,1130,tuffsand,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,8.9,30.7,0,7.5,0.3,0.02,1.3,54,40.5,37.4
95,244,1998,groundwater,777881.7124,10751587.28,14190.53764,990,breccias,71.9,6.89,11,58.67,21,7,1,4.2,1.7,0.08,0.22,1.7,5,10,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
96,245,1998,groundwater,777100.0357,10753021.7,14972.21428,820,breccias,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,40.5,37.4
97,246,1998,groundwater,776637.5243,10756892.13,15434.72573,760,tuffsand,449,8.1,12,360,24.2,25,2,63.6,13.3,0.08,0.23,9.5,26,14.5,169.5,0,50.3,22.6,0.34,93.7,75.1,40.5,37.4
98,247,1998,groundwater,776304.6,10757111.7,15767.65003,650,tuffsand,394,8,8.2,216,24.6,-0.6,2.3,34.3,14.5,0.08,0.24,6.5,48,0,257.8,27.9,17.3,9.2,0.16,6.8,32.6,40.5,37.4
99,248,1998,groundwater,776193.4341,10757221.77,15878.8159,765,clay,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,61,0,2.7,1.3,0.01,2.1,28,40.5,37.4
100,249,1998,groundwater,775304.1237,10758102.36,16768.12634,760,clay,252,5.45,10,370.21,23.8,75,10,9.7,6.4,0.08,0.22,7.7,17,0.1,122.2,27.2,3.3,1.3,0,1.3,56,40.5,37.4
